명칭,코드명,사이클,코드1,코드2
GDP-총액,200Y002,Q,10111,
GDP-비농림어업,200Y002,Q,10112,
GDP-농림어업,200Y002,Q,10113,
GDP-제조,200Y002,Q,10114,
GDP-건설,200Y002,Q,10115,
GDP-서비스업,200Y002,Q,10116,
GDP-ICT,200Y002,Q,10117,
GDP-비ICT,200Y002,Q,10118,
GDP-민간소비,200Y002,Q,10122,
투자-설비,200Y002,Q,10123,
투자-건설,200Y002,Q,10124,
투자-수출-재화,200Y002,Q,10125,
투자-수입-내수,200Y002,Q,10126,
환율-USD,731Y001,D,0000001,
환율-CNY,731Y001,D,0000053,
환율-JPY,731Y001,D,0000002,
환율-EUR,731Y001,D,0000003,
물가-CPI,901Y009,M,0,
물가-GDP디플레이터,200Y011,Q,1400,
심리-경제심리,513Y001,M,E1000,
심리-뉴스심리,521Y001,D,A001,
통화-본원통화,102Y002,M,ABA1,
통화-M2,101Y004,M,BBHA00,
금리-기준금리,722Y001,D,0101000,
금리-콜(1일),817Y002,D,010101000,
금리-국고채(3년),817Y002,D,010200000,
금리-국고채(10년),817Y002,D,010210000,
대출-예금은행,121Y006,M,BECBLA01,
대출-대기업,121Y006,M,BECBLA0201,
대출-가계,121Y006,M,BECBLA03,
대출-주담대,121Y006,M,BECBLA0302,
주식시장-KOSPI지수,802Y001,D,0001000,
주식시장-거래량,802Y001,D,0002000,
주식시장-거래대금,802Y001,D,0003000,
주식시장-외국인순매수,802Y001,D,0030000,
재정-총수입,901Y013,M,A01,
재정-소득세,901Y013,M,A010101,
재정-재화/용역세,901Y013,M,A010103,
재정-관세,901Y013,M,A010104,
재정-총지출,901Y013,M,B01,
재정-보조금,901Y013,M,B0101031,
재정-경상지출,901Y013,M,B010101,
국민소득-GDP,200Y005,Q,1400,
국민소득-GNI,200Y006,Q,1600,
국제금리-미국6개월,902Y001,M,1020302,
국제금리-미국5년,902Y001,M,1020402,
국제금리-미국10년,902Y001,M,1020403,
국제주가지수-다우존스,902Y002,M,3020101,
국제주가지수-나스닥,902Y002,M,3020103,
국제주가지수-니케이,902Y002,M,3020108,
국제주가지수-항셍,902Y002,M,3020114,
국제주가지수-중국,902Y002,M,3020115,
국제주가지수-독일,902Y002,M,3020106,
노동-고용률,901Y027,M,I61E,I28A
노동-경제활동참가율,901Y027,M,I61D,I28A
노동-실업률,902Y021,M,KOR,
노동-미국실업률,902Y021,M,USA,
금리-미국금리,902Y001,M,1020302